,0
"tris-2,3-dibromopropyl-isocyanurate",1
Silicones,1
Cereclor,1
Flame retardant,1
aromatic sulfonamidomethyl phosphonates,1
Sulfenamides,1
aromatic halogen,1
Dialkyl aromatic amidomethyl phosphonates,1
acrylamide,1
ICI,1
hydroxyethylcyanuarates,1
polyphosphazenes,1
Phosphonopropionic acid amide,1
bromide,1
M. Ahmed,1
silica–alumina,1
PittsAntimony–halogen,1
Selezione,1
Chlorez,1
Dialkyl alkyl,1
piperazine,1
Franz A,1
"dodecachloropentacyclo octadeca-7,15 diene",1
methanol,1
dibutyltin maleate,1
aluminum trihydrate,1
fluorohectorite,1
ethylenediamine phosphate,1
Camino,1
Mg(OH)2,1
J. Gree,1
pentabromodiphenyl ether,1
brominated biphenols,1
polymer-layered-silicate,1
hydrated alumina,1
hydrate,1
"1,2,5,6,9,10-hexabromocyclododecane",1
Cicchetti O,1
alkenes,1
halogenated hydrocarbons,1
aluminosilicates,1
polymethylmethacrylate,1
D.H,1
alkanes,1
Sb2O3[152],1
polydimethylsilicone,1
Sathyanarayana S,1
1–9PubMedCrossRefGoogle,1
Wu D,1
Valentin-Blasini L,1
Li HF,1
4-hydroxyphenyl phenyl phosphate,1
phosphate esters,1
BDCPP,1
Unmetabolized PEFRs,1
TCPP,1
cresyl phosphate,1
3–15PubMedCrossRefGoogle,1
4-hydroxyphenyl diphenyl phosphate,1
1–7PubMedCrossRefGoogle,1
di-ester,1
(1-chloro-2-propyl) phosphate,1
organophosphorus flame,1
organohalogen,1
ortho-cresyl phosphate,1
DBzP,1
Cousins AP,1
Yu H,1
Erratico C,1
Tanabe S,1
Phosphate triesters,1
bisphenol A bis(diphenyl phosphate),1
Organophosphate triesters,1
Carignan C,1
cresyl saligenin phosphate,1
K.H,1
2-ethylhexyldiphenyl phosphate,1
dialkyl phosphates,1
Tris(2-chloroethyl) phosphate,1
di-para-cresyl phosphate,1
tris,1
Nakayama K,1
dibutyl phosphate,1
Diester metabolites,1
bis(2-butoxyethyl)-(2-hydroxyethyl) phosphate,1
Morimoto K,1
Mendelson E,1
tris(2-ethylhexyl) phosphate,1
Kubwado C,1
Sorensen JA,1
e26306CrossRefGoogle,1
Technool 52:2331–2338CrossRefGoogle,1
17–26PubMedCrossRefGoogle,1
triaryl,1
Lampa E,1
bis(1-chloro-2-propyl) phosphate,1
Braverman LE,1
Kucharska A,1
aGeometric mean,1
1–8PubMedCrossRefGoogle,1
chlorinated dialkyl phosphates,1
Luo D,1
bis(2-chloroethyl) phosphate,1
Burkardt R,1
Alain Robert,1
Phosphate,1
Yuan H (2017) Organophosphate ester flame,1
Tert-butyl phenyl phenyl phosphate,1
diaryl diesters,1
diaryl phosphate,1
Heffernan AL,1
Glynn A,1
Croteau E,1
Sophie Ndaw,1
Gooden DM,1
tributyl phosphate,1
tetrabromobenzoic acid,1
aryl organophosphate esters,1
Chikara H,1
Christakis DA,1
Zhao H,1
Lockridge O,1
Technol 49:14554–14559PubMedCrossRefGoogle,1
Pharmacol 284:246–253PubMedCrossRefGoogle,1
Voorspoels S,1
aryl-phosphate,1
Salamova A,1
Ali N,1
Carignan,1
ALN,1
stearate,1
melamine phosphate→melamine pyrophosphate→melamine polyphosphate,1
Yin H,1
2-ethylhexyl tetrabromobenzoate,1
DPP,1
trihaloalkyl/aryl phosphate esters,1
Dietrich S,1
Toxicol 36:1401–1408PubMedCrossRefGoogle,1
tris(1-chloro-2-propyl) phosphate—TCIPP,1
Fromme H,1
Pantazides,1
Li JJ,1
Vanermen G,1
Sundkvist AM,1
bis(2-ethylhexyl) phosphate,1
Langenberg JP,1
Res 24:18721–18741CrossRefGoogle,1
Technol 50:4483–4491PubMedCrossRefPubMedCentralGoogle,1
aryl phosphates,1
Guo H,1
organophosphate triesters,1
bis(1-chloro-2-propyl) 1-hydroxy-2-propyl phosphate,1
EDHPHP,1
Savitz DA,1
PEFR triesters,1
tri-isopropylated phenyl phosphate,1
aryl phosphate,1
Dibenzyl phosphate,1
Bradman A,1
13674-84-5,1
trialkyl,1
styrene,1
Brominated Polystyrene,1
